time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,155.0,12.0,21.0,0.0,0.0
0.10000000000000002,155.0,13.0,21.0,0.0,0.0
0.15000000000000002,152.0,13.0,20.0,0.0,0.0
0.20000000000000004,147.0,15.0,19.0,0.0,0.0
0.25000000000000006,142.0,17.0,19.0,0.0,0.0
0.30000000000000004,141.0,17.0,20.0,0.0,0.0
0.3500000000000001,139.0,14.0,20.0,0.0,0.0
0.4000000000000001,134.0,16.0,18.0,0.0,0.0
0.45000000000000007,128.0,20.0,19.0,0.0,0.0
0.5000000000000001,124.0,21.0,17.0,0.0,0.0
0.5500000000000002,119.0,16.0,22.0,0.0,0.0
0.6000000000000001,118.0,15.0,23.0,0.0,0.0
0.6500000000000001,112.0,16.0,22.0,0.0,0.0
0.7000000000000002,113.0,16.0,21.0,0.0,0.0
0.7500000000000001,103.0,24.0,19.0,0.0,0.0
0.8000000000000002,101.0,26.0,17.0,0.0,0.0
0.8500000000000002,100.0,26.0,18.0,0.0,0.0
0.9000000000000001,96.0,27.0,17.0,0.0,0.0
0.9500000000000002,92.0,28.0,21.0,0.0,0.0
1.0000000000000002,91.0,29.0,19.0,0.0,0.0
1.0500000000000003,35.6,31.0,19.0,51.4,0.0
1.1000000000000003,38.6,28.0,23.0,50.4,0.0
1.1500000000000001,39.6,26.0,25.0,50.4,0.0
1.2000000000000002,38.6,30.0,23.0,47.4,0.0
1.2500000000000002,41.6,28.0,25.0,45.4,0.0
1.3000000000000003,42.6,29.0,25.0,45.4,0.0
1.3500000000000003,43.6,26.0,29.0,45.4,0.0
1.4000000000000004,43.6,29.0,25.0,41.4,0.0
1.4500000000000002,44.6,31.0,25.0,39.4,0.0
1.5000000000000002,45.6,33.0,25.0,36.4,0.0
1.5500000000000003,44.6,36.0,26.0,33.4,0.0
1.6000000000000003,42.6,34.0,27.0,33.4,0.0
1.6500000000000004,43.6,31.0,31.0,33.4,0.0
1.7000000000000004,42.6,30.0,32.0,33.4,0.0
1.7500000000000004,42.6,31.0,34.0,33.4,0.0
1.8000000000000003,44.6,27.0,33.0,32.4,0.0
1.8500000000000003,47.6,27.0,33.0,31.4,0.0
1.9000000000000004,49.6,28.0,30.0,31.4,0.0
1.9500000000000004,49.6,29.0,30.0,30.4,0.0
2.0000000000000004,17.84,34.0,29.0,55.16,0.0
2.0500000000000003,18.84,33.0,29.0,54.16,0.0
2.1000000000000005,21.84,32.0,28.0,53.16,0.0
2.1500000000000004,24.84,31.0,27.0,53.16,0.0
2.2000000000000006,27.84,33.0,27.0,52.16,0.0
2.2500000000000004,27.84,35.0,27.0,49.16,0.0
2.3000000000000003,29.84,34.0,28.0,48.16,0.0
2.3500000000000005,29.84,34.0,29.0,44.16,0.0
2.4000000000000004,33.84,36.0,29.0,40.16,0.0
2.4500000000000006,34.84,36.0,31.0,39.16,0.0
2.5000000000000004,36.84,37.0,31.0,37.16,0.0
2.5500000000000007,33.84,35.0,34.0,35.16,0.0
2.6000000000000005,33.84,33.0,35.0,34.16,0.0
2.6500000000000004,35.84,34.0,37.0,32.16,0.0
2.7000000000000006,34.84,37.0,36.0,30.159999999999997,0.0
2.7500000000000004,35.84,34.0,35.0,30.159999999999997,0.0
2.8000000000000007,38.84,32.0,36.0,29.159999999999997,0.0
2.8500000000000005,42.84,27.0,36.0,28.159999999999997,0.0
2.9000000000000004,42.84,27.0,37.0,28.159999999999997,0.0
2.9500000000000006,41.84,25.0,41.0,26.159999999999997,0.0
3.0000000000000004,17.936000000000003,28.0,39.0,52.06399999999999,0.0
3.0500000000000007,22.936000000000003,29.0,36.0,51.06399999999999,0.0
3.1000000000000005,27.936000000000003,33.0,37.0,46.06399999999999,0.0
3.150000000000001,31.936000000000003,34.0,34.0,44.06399999999999,0.0
3.2000000000000006,33.93600000000001,34.0,32.0,42.06399999999999,0.0
3.2500000000000004,38.93600000000001,34.0,33.0,40.06399999999999,0.0
3.3000000000000007,39.93600000000001,32.0,33.0,40.06399999999999,0.0
3.3500000000000005,41.93600000000001,36.0,31.0,37.06399999999999,0.0
3.400000000000001,38.93600000000001,39.0,32.0,36.06399999999999,0.0
3.4500000000000006,38.93600000000001,42.0,29.0,34.06399999999999,0.0
3.500000000000001,40.93600000000001,41.0,31.0,32.06399999999999,0.0
3.5500000000000007,37.93600000000001,38.0,35.0,32.06399999999999,0.0
3.6000000000000005,35.93600000000001,41.0,35.0,29.063999999999993,0.0
3.650000000000001,37.93600000000001,39.0,35.0,27.063999999999993,0.0
3.7000000000000006,38.93600000000001,38.0,37.0,27.063999999999993,0.0
3.750000000000001,37.93600000000001,36.0,39.0,27.063999999999993,0.0
3.8000000000000007,39.93600000000001,35.0,39.0,27.063999999999993,0.0
3.8500000000000005,40.93600000000001,37.0,37.0,24.063999999999993,0.0
3.900000000000001,41.93600000000001,38.0,31.0,21.063999999999993,0.0
3.9500000000000006,41.93600000000001,39.0,34.0,19.063999999999993,0.0
4.000000000000001,15.574400000000004,40.0,36.0,42.425599999999996,0.0
4.050000000000001,17.574400000000004,40.0,36.0,41.425599999999996,0.0
4.1000000000000005,16.574400000000004,42.0,35.0,39.425599999999996,0.0
4.150000000000001,16.574400000000004,40.0,32.0,36.425599999999996,0.0
4.200000000000001,18.574400000000004,40.0,32.0,34.425599999999996,0.0
4.250000000000001,18.574400000000004,38.0,33.0,32.425599999999996,0.0
4.300000000000001,20.574400000000004,37.0,34.0,31.425599999999996,0.0
4.3500000000000005,22.574400000000004,37.0,33.0,31.425599999999996,0.0
4.400000000000001,22.574400000000004,35.0,32.0,31.425599999999996,0.0
4.450000000000001,30.574400000000004,30.0,32.0,31.425599999999996,0.0
4.500000000000001,28.574400000000004,30.0,34.0,30.425599999999996,0.0
4.550000000000001,27.574400000000004,26.0,34.0,29.425599999999996,0.0
4.6000000000000005,29.574400000000004,27.0,32.0,28.425599999999996,0.0
4.650000000000001,32.574400000000004,27.0,33.0,27.425599999999996,0.0
4.700000000000001,32.574400000000004,28.0,32.0,26.425599999999996,0.0
4.750000000000001,32.574400000000004,27.0,28.0,26.425599999999996,0.0
4.800000000000001,32.574400000000004,25.0,27.0,24.425599999999996,0.0
4.8500000000000005,33.574400000000004,24.0,26.0,22.425599999999996,0.0
4.900000000000001,36.574400000000004,24.0,28.0,21.425599999999996,0.0
4.950000000000001,38.574400000000004,23.0,25.0,21.425599999999996,0.0
5.000000000000001,37.574400000000004,23.0,26.0,21.425599999999996,0.0
5.050000000000001,15.629760000000005,26.0,28.0,41.370239999999995,0.0
5.100000000000001,16.629760000000005,26.0,26.0,40.370239999999995,0.0
5.150000000000001,21.629760000000005,23.0,28.0,40.370239999999995,0.0
5.200000000000001,23.629760000000005,21.0,29.0,39.370239999999995,0.0
5.250000000000001,21.629760000000005,24.0,27.0,35.370239999999995,0.0
5.300000000000001,18.629760000000005,25.0,28.0,34.370239999999995,0.0
5.350000000000001,19.629760000000005,28.0,28.0,33.370239999999995,0.0
5.400000000000001,21.629760000000005,29.0,28.0,32.370239999999995,0.0
5.450000000000001,19.629760000000005,30.0,25.0,30.370239999999995,0.0
5.500000000000001,23.629760000000005,29.0,25.0,30.370239999999995,0.0
5.550000000000001,28.629760000000005,29.0,26.0,28.370239999999995,0.0
5.600000000000001,26.629760000000005,31.0,28.0,26.370239999999995,0.0
5.650000000000001,27.629760000000005,29.0,29.0,26.370239999999995,0.0
5.700000000000001,28.629760000000005,27.0,30.0,26.370239999999995,0.0
5.750000000000001,26.629760000000005,22.0,31.0,25.370239999999995,0.0
5.800000000000001,27.629760000000005,22.0,31.0,25.370239999999995,0.0
5.850000000000001,27.629760000000005,22.0,30.0,25.370239999999995,0.0
5.900000000000001,27.629760000000005,23.0,30.0,25.370239999999995,0.0
5.950000000000001,27.629760000000005,23.0,30.0,24.370239999999995,0.0
6.000000000000001,28.629760000000005,25.0,29.0,21.370239999999995,0.0
6.050000000000002,14.651904000000002,24.0,27.0,39.348096,0.0
6.100000000000001,18.651904000000002,24.0,28.0,39.348096,0.0
6.150000000000001,18.651904000000002,24.0,29.0,37.348096,0.0
6.200000000000001,19.651904000000002,27.0,27.0,36.348096,0.0
6.250000000000001,18.651904000000002,28.0,27.0,33.348096,0.0
6.300000000000002,21.651904000000002,30.0,23.0,32.348096,0.0
6.350000000000001,21.651904000000002,30.0,23.0,32.348096,0.0
6.400000000000001,23.651904000000002,26.0,28.0,31.348095999999998,0.0
6.450000000000001,25.651904000000002,28.0,29.0,30.348095999999998,0.0
6.500000000000001,26.651904000000002,26.0,28.0,29.348095999999998,0.0
6.550000000000002,21.651904000000002,22.0,34.0,29.348095999999998,0.0
6.600000000000001,22.651904000000002,21.0,35.0,29.348095999999998,0.0
6.650000000000001,23.651904000000002,23.0,31.0,29.348095999999998,0.0
6.700000000000001,21.651904000000002,27.0,30.0,27.348095999999998,0.0
6.750000000000001,22.651904000000002,27.0,30.0,26.348095999999998,0.0
6.800000000000002,25.651904000000002,30.0,28.0,23.348095999999998,0.0
6.850000000000001,26.651904000000002,29.0,27.0,23.348095999999998,0.0
6.900000000000001,25.651904000000002,31.0,25.0,22.348095999999998,0.0
6.950000000000001,24.651904000000002,29.0,24.0,21.348095999999998,0.0
7.000000000000002,9.060761600000001,28.0,27.0,31.9392384,0.0
7.050000000000002,9.060761600000001,29.0,24.0,31.9392384,0.0
7.100000000000001,12.060761600000001,28.0,25.0,31.9392384,0.0
7.150000000000001,15.0607616,27.0,25.0,31.9392384,0.0
7.200000000000001,16.0607616,28.0,25.0,30.9392384,0.0
7.250000000000002,21.0607616,30.0,25.0,29.9392384,0.0
7.300000000000002,21.0607616,29.0,28.0,27.9392384,0.0
7.350000000000001,26.0607616,30.0,27.0,26.9392384,0.0
7.400000000000001,26.0607616,31.0,26.0,25.9392384,0.0
7.450000000000001,28.0607616,27.0,28.0,24.9392384,0.0
7.500000000000002,29.0607616,28.0,27.0,24.9392384,0.0
7.550000000000002,28.0607616,26.0,30.0,24.9392384,0.0
7.600000000000001,32.0607616,24.0,27.0,22.9392384,0.0
7.650000000000001,34.0607616,25.0,29.0,20.9392384,0.0
7.700000000000001,35.0607616,27.0,28.0,19.9392384,0.0
7.750000000000002,38.0607616,27.0,28.0,19.9392384,0.0
7.800000000000002,38.0607616,29.0,28.0,16.9392384,0.0
7.850000000000001,40.0607616,24.0,30.0,16.9392384,0.0
7.900000000000001,41.0607616,24.0,29.0,16.9392384,0.0
7.950000000000002,43.0607616,24.0,29.0,15.9392384,0.0
8.000000000000002,43.0607616,26.0,29.0,15.9392384,0.0
8.05,17.624304640000002,26.0,30.0,41.375695359999995,0.0
8.100000000000001,18.624304640000002,28.0,31.0,39.375695359999995,0.0
8.150000000000002,20.624304640000002,26.0,32.0,38.375695359999995,0.0
8.200000000000001,18.624304640000002,26.0,35.0,37.375695359999995,0.0
8.250000000000002,19.624304640000002,25.0,37.0,36.375695359999995,0.0
8.300000000000002,18.624304640000002,30.0,35.0,34.375695359999995,0.0
8.350000000000001,23.624304640000002,33.0,35.0,31.375695359999995,0.0
8.400000000000002,27.624304640000002,34.0,34.0,30.375695359999995,0.0
8.450000000000001,31.624304640000002,35.0,32.0,27.375695359999995,0.0
8.500000000000002,36.624304640000005,34.0,31.0,27.375695359999995,0.0
8.550000000000002,37.624304640000005,34.0,32.0,27.375695359999995,0.0
8.600000000000001,43.624304640000005,35.0,32.0,26.375695359999995,0.0
8.650000000000002,41.624304640000005,37.0,32.0,26.375695359999995,0.0
8.700000000000001,42.624304640000005,41.0,29.0,24.375695359999995,0.0
8.750000000000002,44.624304640000005,43.0,28.0,24.375695359999995,0.0
