time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,156.0,13.0,21.0,0.0,0.0
0.10000000000000002,154.0,16.0,21.0,0.0,0.0
0.15000000000000002,145.0,21.0,21.0,0.0,0.0
0.20000000000000004,138.0,23.0,21.0,0.0,0.0
0.25000000000000006,134.0,26.0,22.0,0.0,0.0
0.30000000000000004,132.0,26.0,23.0,0.0,0.0
0.3500000000000001,128.0,28.0,23.0,0.0,0.0
0.4000000000000001,126.0,26.0,23.0,0.0,0.0
0.45000000000000007,126.0,26.0,21.0,0.0,0.0
0.5000000000000001,122.0,27.0,22.0,0.0,0.0
0.5500000000000002,117.0,29.0,23.0,0.0,0.0
0.6000000000000001,112.0,34.0,24.0,0.0,0.0
0.6500000000000001,115.0,33.0,22.0,0.0,0.0
0.7000000000000002,114.0,32.0,25.0,0.0,0.0
0.7500000000000001,112.0,32.0,27.0,0.0,0.0
0.8000000000000002,106.0,37.0,27.0,0.0,0.0
0.8500000000000002,102.0,42.0,28.0,0.0,0.0
0.9000000000000001,101.0,44.0,28.0,0.0,0.0
0.9500000000000002,99.0,44.0,30.0,0.0,0.0
1.0000000000000002,38.0,40.0,34.0,57.0,0.0
1.0500000000000003,35.0,40.0,36.0,55.0,0.0
1.1000000000000003,37.0,42.0,34.0,55.0,0.0
1.1500000000000001,39.0,38.0,38.0,53.0,0.0
1.2000000000000002,39.0,38.0,40.0,51.0,0.0
1.2500000000000002,38.0,35.0,41.0,49.0,0.0
1.3000000000000003,38.0,34.0,40.0,48.0,0.0
1.3500000000000003,39.0,35.0,42.0,45.0,0.0
1.4000000000000004,40.0,34.0,41.0,44.0,0.0
1.4500000000000002,36.0,37.0,44.0,43.0,0.0
1.5000000000000002,38.0,34.0,44.0,41.0,0.0
1.5500000000000003,35.0,37.0,44.0,41.0,0.0
1.6000000000000003,36.0,36.0,45.0,40.0,0.0
1.6500000000000004,38.0,33.0,49.0,39.0,0.0
1.7000000000000004,37.0,38.0,47.0,36.0,0.0
1.7500000000000004,38.0,37.0,49.0,36.0,0.0
1.8000000000000003,37.0,35.0,51.0,35.0,0.0
1.8500000000000003,34.0,39.0,48.0,33.0,0.0
1.9000000000000004,32.0,41.0,43.0,31.0,0.0
1.9500000000000004,33.0,41.0,43.0,30.0,0.0
2.0000000000000004,12.4,41.0,45.0,45.599999999999994,0.0
2.0500000000000003,14.4,38.0,48.0,44.599999999999994,0.0
