time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,156.0,9.0,23.0,0.0,0.0
0.10000000000000002,154.0,10.0,23.0,0.0,0.0
0.15000000000000002,149.0,14.0,23.0,0.0,0.0
0.20000000000000004,146.0,19.0,22.0,0.0,0.0
0.25000000000000006,143.0,23.0,19.0,0.0,0.0
0.30000000000000004,144.0,27.0,18.0,0.0,0.0
0.3500000000000001,140.0,25.0,21.0,0.0,0.0
0.4000000000000001,136.0,27.0,22.0,0.0,0.0
0.45000000000000007,132.0,25.0,25.0,0.0,0.0
0.5000000000000001,128.0,28.0,25.0,0.0,0.0
0.5500000000000002,127.0,32.0,23.0,0.0,0.0
0.6000000000000001,124.0,33.0,29.0,0.0,0.0
0.6500000000000001,122.0,30.0,31.0,0.0,0.0
0.7000000000000002,117.0,33.0,31.0,0.0,0.0
0.7500000000000001,116.0,31.0,30.0,0.0,0.0
0.8000000000000002,112.0,32.0,26.0,0.0,0.0
0.8500000000000002,110.0,34.0,29.0,0.0,0.0
0.9000000000000001,107.0,38.0,27.0,0.0,0.0
0.9500000000000002,105.0,37.0,26.0,0.0,0.0
1.0000000000000002,41.2,37.0,26.0,61.8,0.0
1.0500000000000003,40.2,39.0,26.0,58.8,0.0
1.1000000000000003,39.2,38.0,27.0,58.8,0.0
1.1500000000000001,40.2,31.0,32.0,58.8,0.0
1.2000000000000002,36.2,35.0,32.0,55.8,0.0
1.2500000000000002,35.2,35.0,33.0,53.8,0.0
1.3000000000000003,34.2,29.0,40.0,52.8,0.0
1.3500000000000003,34.2,30.0,39.0,51.8,0.0
1.4000000000000004,33.2,30.0,34.0,51.8,0.0
1.4500000000000002,35.2,28.0,39.0,48.8,0.0
1.5000000000000002,36.2,27.0,38.0,46.8,0.0
1.5500000000000003,35.2,25.0,41.0,45.8,0.0
1.6000000000000003,34.2,27.0,42.0,42.8,0.0
1.6500000000000004,35.2,30.0,42.0,40.8,0.0
1.7000000000000004,32.2,35.0,41.0,39.8,0.0
1.7500000000000004,35.2,32.0,44.0,37.8,0.0
1.8000000000000003,32.2,36.0,44.0,34.8,0.0
1.8500000000000003,33.2,39.0,41.0,32.8,0.0
1.9000000000000004,31.200000000000003,40.0,39.0,32.8,0.0
1.9500000000000004,30.200000000000003,37.0,41.0,32.8,0.0
2.0000000000000004,13.280000000000001,39.0,40.0,49.72,0.0
2.0500000000000003,15.280000000000001,36.0,44.0,46.72,0.0
2.1000000000000005,15.280000000000001,35.0,42.0,46.72,0.0
