time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,157.0,10.0,21.0,0.0,0.0
0.10000000000000002,157.0,11.0,21.0,0.0,0.0
0.15000000000000002,148.0,16.0,19.0,0.0,0.0
0.20000000000000004,145.0,16.0,19.0,0.0,0.0
0.25000000000000006,140.0,19.0,19.0,0.0,0.0
0.30000000000000004,139.0,16.0,22.0,0.0,0.0
0.3500000000000001,138.0,15.0,24.0,0.0,0.0
0.4000000000000001,133.0,20.0,23.0,0.0,0.0
0.45000000000000007,130.0,22.0,23.0,0.0,0.0
0.5000000000000001,127.0,23.0,25.0,0.0,0.0
0.5500000000000002,123.0,26.0,25.0,0.0,0.0
0.6000000000000001,120.0,26.0,26.0,0.0,0.0
0.6500000000000001,117.0,24.0,31.0,0.0,0.0
0.7000000000000002,112.0,26.0,34.0,0.0,0.0
0.7500000000000001,108.0,27.0,34.0,0.0,0.0
0.8000000000000002,101.0,30.0,32.0,0.0,0.0
0.8500000000000002,97.0,33.0,30.0,0.0,0.0
0.9000000000000001,94.0,33.0,33.0,0.0,0.0
0.9500000000000002,95.0,34.0,33.0,0.0,0.0
1.0000000000000002,36.0,37.0,32.0,54.0,0.0
1.0500000000000003,35.0,36.0,30.0,51.0,0.0
1.1000000000000003,33.0,31.0,35.0,51.0,0.0
1.1500000000000001,33.0,30.0,37.0,48.0,0.0
1.2000000000000002,31.0,33.0,36.0,45.0,0.0
1.2500000000000002,34.0,33.0,37.0,41.0,0.0
1.3000000000000003,37.0,32.0,36.0,40.0,0.0
1.3500000000000003,35.0,33.0,40.0,37.0,0.0
1.4000000000000004,35.0,31.0,43.0,35.0,0.0
1.4500000000000002,36.0,31.0,38.0,35.0,0.0
1.5000000000000002,36.0,32.0,41.0,34.0,0.0
1.5500000000000003,39.0,34.0,39.0,34.0,0.0
1.6000000000000003,41.0,33.0,36.0,33.0,0.0
1.6500000000000004,44.0,29.0,34.0,32.0,0.0
1.7000000000000004,50.0,29.0,33.0,31.0,0.0
1.7500000000000004,50.0,28.0,32.0,30.0,0.0
1.8000000000000003,50.0,33.0,33.0,28.0,0.0
1.8500000000000003,49.0,31.0,36.0,27.0,0.0
1.9000000000000004,49.0,34.0,37.0,25.0,0.0
1.9500000000000004,51.0,36.0,36.0,24.0,0.0
2.0000000000000004,48.0,36.0,37.0,24.0,0.0
2.0500000000000003,19.8,40.0,33.0,49.2,0.0
2.1000000000000005,24.8,38.0,35.0,47.2,0.0
2.1500000000000004,24.8,36.0,36.0,46.2,0.0
2.2000000000000006,25.8,30.0,41.0,45.2,0.0
2.2500000000000004,23.8,32.0,40.0,44.2,0.0
2.3000000000000003,25.8,32.0,41.0,43.2,0.0
2.3500000000000005,29.8,29.0,43.0,43.2,0.0
2.4000000000000004,28.8,26.0,44.0,42.2,0.0
2.4500000000000006,29.8,29.0,40.0,40.2,0.0
2.5000000000000004,29.8,30.0,40.0,40.2,0.0
2.5500000000000007,29.8,32.0,39.0,35.2,0.0
2.6000000000000005,28.8,32.0,36.0,35.2,0.0
2.6500000000000004,29.8,32.0,31.0,34.2,0.0
2.7000000000000006,29.8,31.0,32.0,33.2,0.0
2.7500000000000004,33.8,31.0,32.0,33.2,0.0
2.8000000000000007,36.8,30.0,30.0,33.2,0.0
2.8500000000000005,39.8,28.0,32.0,33.2,0.0
2.9000000000000004,38.8,27.0,33.0,33.2,0.0
2.9500000000000006,39.8,28.0,32.0,32.2,0.0
3.0000000000000004,16.32,29.0,30.0,56.68,0.0
3.0500000000000007,19.32,28.0,28.0,55.68,0.0
3.1000000000000005,20.32,31.0,28.0,52.68,0.0
3.150000000000001,21.32,31.0,28.0,50.68,0.0
3.2000000000000006,23.32,27.0,30.0,49.68,0.0
3.2500000000000004,24.32,26.0,31.0,49.68,0.0
3.3000000000000007,24.32,23.0,33.0,47.68,0.0
3.3500000000000005,23.32,22.0,35.0,46.68,0.0
3.400000000000001,24.32,22.0,39.0,42.68,0.0
3.4500000000000006,22.32,23.0,35.0,42.68,0.0
3.500000000000001,23.32,24.0,33.0,41.68,0.0
3.5500000000000007,26.32,26.0,30.0,40.68,0.0
3.6000000000000005,28.32,26.0,31.0,39.68,0.0
3.650000000000001,32.32,21.0,32.0,39.68,0.0
3.7000000000000006,38.32,21.0,32.0,38.68,0.0
3.750000000000001,40.32,20.0,33.0,37.68,0.0
3.8000000000000007,42.32,17.0,35.0,36.68,0.0
3.8500000000000005,41.32,22.0,34.0,34.68,0.0
3.900000000000001,40.32,22.0,32.0,34.68,0.0
3.9500000000000006,43.32,22.0,32.0,34.68,0.0
4.000000000000001,18.528000000000002,25.0,28.0,60.471999999999994,0.0
4.050000000000001,19.528000000000002,26.0,28.0,59.471999999999994,0.0
4.1000000000000005,20.528000000000002,25.0,27.0,57.471999999999994,0.0
4.150000000000001,23.528000000000002,27.0,27.0,52.471999999999994,0.0
4.200000000000001,28.528000000000002,27.0,29.0,49.471999999999994,0.0
4.250000000000001,33.528000000000006,26.0,25.0,49.471999999999994,0.0
4.300000000000001,33.528000000000006,26.0,24.0,49.471999999999994,0.0
4.3500000000000005,32.528000000000006,27.0,20.0,49.471999999999994,0.0
4.400000000000001,33.528000000000006,26.0,20.0,47.471999999999994,0.0
4.450000000000001,35.528000000000006,23.0,23.0,45.471999999999994,0.0
4.500000000000001,38.528000000000006,21.0,24.0,45.471999999999994,0.0
4.550000000000001,36.528000000000006,21.0,24.0,44.471999999999994,0.0
4.6000000000000005,36.528000000000006,20.0,25.0,44.471999999999994,0.0
4.650000000000001,37.528000000000006,19.0,27.0,42.471999999999994,0.0
4.700000000000001,40.528000000000006,15.0,30.0,42.471999999999994,0.0
4.750000000000001,38.528000000000006,15.0,29.0,41.471999999999994,0.0
4.800000000000001,37.528000000000006,18.0,29.0,39.471999999999994,0.0
4.8500000000000005,36.528000000000006,22.0,26.0,39.471999999999994,0.0
4.900000000000001,38.528000000000006,23.0,26.0,37.471999999999994,0.0
4.950000000000001,36.528000000000006,23.0,30.0,37.471999999999994,0.0
5.000000000000001,35.528000000000006,26.0,29.0,37.471999999999994,0.0
5.050000000000001,16.611200000000004,28.0,26.0,57.388799999999996,0.0
5.100000000000001,16.611200000000004,27.0,24.0,54.388799999999996,0.0
5.150000000000001,22.611200000000004,24.0,27.0,53.388799999999996,0.0
5.200000000000001,23.611200000000004,24.0,26.0,52.388799999999996,0.0
5.250000000000001,24.611200000000004,22.0,28.0,52.388799999999996,0.0
5.300000000000001,26.611200000000004,23.0,27.0,51.388799999999996,0.0
5.350000000000001,25.611200000000004,23.0,29.0,49.388799999999996,0.0
