time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,154.0,13.0,21.0,0.0,0.0
0.10000000000000002,152.0,14.0,22.0,0.0,0.0
0.15000000000000002,145.0,19.0,19.0,0.0,0.0
0.20000000000000004,143.0,17.0,21.0,0.0,0.0
0.25000000000000006,138.0,21.0,21.0,0.0,0.0
0.30000000000000004,138.0,20.0,24.0,0.0,0.0
0.3500000000000001,138.0,19.0,25.0,0.0,0.0
0.4000000000000001,138.0,20.0,23.0,0.0,0.0
0.45000000000000007,131.0,22.0,23.0,0.0,0.0
0.5000000000000001,128.0,23.0,24.0,0.0,0.0
0.5500000000000002,125.0,25.0,24.0,0.0,0.0
0.6000000000000001,121.0,31.0,23.0,0.0,0.0
0.6500000000000001,119.0,32.0,23.0,0.0,0.0
0.7000000000000002,116.0,31.0,26.0,0.0,0.0
0.7500000000000001,117.0,30.0,27.0,0.0,0.0
0.8000000000000002,116.0,30.0,25.0,0.0,0.0
0.8500000000000002,116.0,32.0,25.0,0.0,0.0
0.9000000000000001,114.0,30.0,25.0,0.0,0.0
0.9500000000000002,113.0,34.0,27.0,0.0,0.0
1.0000000000000002,116.0,33.0,29.0,0.0,0.0
1.0500000000000003,47.400000000000006,32.0,32.0,64.6,0.0
1.1000000000000003,47.400000000000006,32.0,32.0,61.599999999999994,0.0
1.1500000000000001,49.400000000000006,31.0,31.0,57.599999999999994,0.0
1.2000000000000002,49.400000000000006,33.0,30.0,56.599999999999994,0.0
1.2500000000000002,48.400000000000006,36.0,30.0,53.599999999999994,0.0
1.3000000000000003,45.400000000000006,34.0,33.0,52.599999999999994,0.0
1.3500000000000003,40.400000000000006,40.0,32.0,49.599999999999994,0.0
1.4000000000000004,40.400000000000006,37.0,36.0,46.599999999999994,0.0
1.4500000000000002,41.400000000000006,41.0,34.0,43.599999999999994,0.0
1.5000000000000002,44.400000000000006,41.0,34.0,42.599999999999994,0.0
1.5500000000000003,48.400000000000006,39.0,35.0,41.599999999999994,0.0
1.6000000000000003,43.400000000000006,38.0,33.0,39.599999999999994,0.0
1.6500000000000004,42.400000000000006,36.0,36.0,38.599999999999994,0.0
1.7000000000000004,42.400000000000006,35.0,39.0,36.599999999999994,0.0
1.7500000000000004,44.400000000000006,34.0,38.0,35.599999999999994,0.0
1.8000000000000003,43.400000000000006,34.0,39.0,32.599999999999994,0.0
1.8500000000000003,43.400000000000006,32.0,42.0,31.599999999999994,0.0
1.9000000000000004,45.400000000000006,30.0,38.0,29.599999999999994,0.0
1.9500000000000004,43.400000000000006,31.0,38.0,27.599999999999994,0.0
2.0000000000000004,43.400000000000006,30.0,40.0,26.599999999999994,0.0
2.0500000000000003,18.360000000000003,29.0,34.0,50.64,0.0
2.1000000000000005,19.360000000000003,29.0,34.0,48.64,0.0
2.1500000000000004,18.360000000000003,27.0,33.0,47.64,0.0
2.2000000000000006,21.360000000000003,28.0,33.0,44.64,0.0
2.2500000000000004,22.360000000000003,27.0,32.0,40.64,0.0
2.3000000000000003,24.360000000000003,26.0,33.0,39.64,0.0
2.3500000000000005,26.360000000000003,27.0,31.0,39.64,0.0
2.4000000000000004,25.360000000000003,27.0,31.0,39.64,0.0
2.4500000000000006,24.360000000000003,28.0,31.0,36.64,0.0
2.5000000000000004,23.360000000000003,31.0,30.0,33.64,0.0
2.5500000000000007,22.360000000000003,27.0,35.0,31.64,0.0
2.6000000000000005,27.360000000000003,25.0,37.0,28.64,0.0
2.6500000000000004,31.36,25.0,35.0,28.64,0.0
2.7000000000000006,27.36,31.0,33.0,27.64,0.0
2.7500000000000004,25.36,30.0,34.0,27.64,0.0
2.8000000000000007,27.36,29.0,31.0,26.64,0.0
2.8500000000000005,28.36,28.0,29.0,26.64,0.0
2.9000000000000004,23.36,34.0,28.0,21.64,0.0
2.9500000000000006,23.36,32.0,29.0,21.64,0.0
3.0000000000000004,11.344000000000001,30.0,29.0,38.656,0.0
3.0500000000000007,13.344000000000001,30.0,30.0,33.656,0.0
3.1000000000000005,13.344000000000001,30.0,29.0,33.656,0.0
3.150000000000001,18.344,22.0,35.0,31.656,0.0
3.2000000000000006,20.344,23.0,35.0,28.656,0.0
3.2500000000000004,21.344,23.0,31.0,27.656,0.0
3.3000000000000007,22.344,22.0,34.0,23.656,0.0
3.3500000000000005,22.344,21.0,36.0,22.656,0.0
3.400000000000001,22.344,22.0,33.0,20.656,0.0
3.4500000000000006,21.344,23.0,33.0,19.656,0.0
3.500000000000001,19.344,26.0,30.0,18.656,0.0
3.5500000000000007,20.344,25.0,30.0,18.656,0.0
3.6000000000000005,21.344,23.0,30.0,18.656,0.0
3.650000000000001,23.344,19.0,30.0,18.656,0.0
3.7000000000000006,24.344,19.0,30.0,18.656,0.0
3.750000000000001,21.344,22.0,30.0,18.656,0.0
3.8000000000000007,20.344,22.0,30.0,18.656,0.0
3.8500000000000005,20.344,23.0,29.0,18.656,0.0
3.900000000000001,20.344,19.0,31.0,18.656,0.0
3.9500000000000006,21.344,20.0,30.0,17.656,0.0
4.000000000000001,8.937600000000002,19.0,31.0,30.062399999999997,0.0
4.050000000000001,7.9376000000000015,19.0,31.0,29.062399999999997,0.0
4.1000000000000005,8.937600000000002,20.0,30.0,29.062399999999997,0.0
4.150000000000001,8.937600000000002,20.0,33.0,28.062399999999997,0.0
4.200000000000001,12.937600000000002,19.0,33.0,25.062399999999997,0.0
4.250000000000001,13.937600000000002,22.0,30.0,21.062399999999997,0.0
4.300000000000001,12.937600000000002,22.0,30.0,21.062399999999997,0.0
4.3500000000000005,12.937600000000002,20.0,31.0,21.062399999999997,0.0
4.400000000000001,14.937600000000002,20.0,30.0,21.062399999999997,0.0
4.450000000000001,10.937600000000002,21.0,31.0,21.062399999999997,0.0
4.500000000000001,10.937600000000002,18.0,32.0,19.062399999999997,0.0
4.550000000000001,11.937600000000002,16.0,30.0,19.062399999999997,0.0
4.6000000000000005,11.937600000000002,14.0,32.0,19.062399999999997,0.0
4.650000000000001,13.937600000000002,15.0,27.0,15.062399999999997,0.0
4.700000000000001,13.937600000000002,16.0,24.0,15.062399999999997,0.0
4.750000000000001,12.937600000000002,16.0,25.0,15.062399999999997,0.0
4.800000000000001,13.937600000000002,16.0,25.0,14.062399999999997,0.0
4.8500000000000005,13.937600000000002,15.0,25.0,14.062399999999997,0.0
4.900000000000001,12.937600000000002,16.0,24.0,14.062399999999997,0.0
4.950000000000001,16.937600000000003,17.0,22.0,13.062399999999997,0.0
5.000000000000001,16.937600000000003,19.0,21.0,13.062399999999997,0.0
5.050000000000001,11.175040000000003,19.0,21.0,23.824959999999997,0.0
5.100000000000001,12.175040000000003,21.0,21.0,23.824959999999997,0.0
5.150000000000001,14.175040000000003,20.0,22.0,22.824959999999997,0.0
5.200000000000001,16.175040000000003,20.0,20.0,21.824959999999997,0.0
5.250000000000001,18.175040000000003,19.0,21.0,20.824959999999997,0.0
5.300000000000001,18.175040000000003,19.0,23.0,20.824959999999997,0.0
5.350000000000001,17.175040000000003,22.0,16.0,19.824959999999997,0.0
5.400000000000001,19.175040000000003,23.0,16.0,19.824959999999997,0.0
5.450000000000001,20.175040000000003,22.0,18.0,16.824959999999997,0.0
5.500000000000001,21.175040000000003,22.0,17.0,15.824959999999997,0.0
5.550000000000001,20.175040000000003,23.0,17.0,13.824959999999997,0.0
5.600000000000001,23.175040000000003,21.0,18.0,12.824959999999997,0.0
5.650000000000001,25.175040000000003,21.0,17.0,12.824959999999997,0.0
5.700000000000001,22.175040000000003,24.0,15.0,12.824959999999997,0.0
5.750000000000001,26.175040000000003,21.0,18.0,12.824959999999997,0.0
5.800000000000001,32.17504,20.0,18.0,12.824959999999997,0.0
5.850000000000001,35.17504,20.0,17.0,12.824959999999997,0.0
5.900000000000001,35.17504,19.0,16.0,12.824959999999997,0.0
5.950000000000001,37.17504,18.0,17.0,11.824959999999997,0.0
6.000000000000001,15.270016000000002,17.0,18.0,34.729984,0.0
6.050000000000002,16.270016000000002,15.0,19.0,34.729984,0.0
6.100000000000001,17.270016000000002,15.0,19.0,33.729984,0.0
6.150000000000001,20.270016000000002,18.0,19.0,30.729984,0.0
6.200000000000001,20.270016000000002,17.0,21.0,29.729984,0.0
6.250000000000001,17.270016000000002,21.0,21.0,29.729984,0.0
6.300000000000002,16.270016000000002,23.0,21.0,28.729984,0.0
6.350000000000001,19.270016000000002,26.0,20.0,26.729984,0.0
6.400000000000001,21.270016000000002,26.0,20.0,26.729984,0.0
6.450000000000001,26.270016000000002,25.0,20.0,25.729984,0.0
6.500000000000001,29.270016000000002,26.0,20.0,24.729984,0.0
6.550000000000002,28.270016000000002,29.0,20.0,24.729984,0.0
6.600000000000001,29.270016000000002,27.0,20.0,23.729984,0.0
6.650000000000001,28.270016000000002,26.0,18.0,23.729984,0.0
6.700000000000001,34.270016,24.0,19.0,23.729984,0.0
6.750000000000001,33.270016,26.0,19.0,23.729984,0.0
6.800000000000002,37.270016,30.0,18.0,21.729984,0.0
6.850000000000001,35.270016,31.0,21.0,21.729984,0.0
6.900000000000001,31.270016,31.0,23.0,21.729984,0.0
6.950000000000001,34.270016,32.0,23.0,20.729984,0.0
7.000000000000002,14.9080064,30.0,24.0,43.091993599999995,0.0
7.050000000000002,19.908006399999998,30.0,24.0,41.091993599999995,0.0
7.100000000000001,24.908006399999998,30.0,20.0,41.091993599999995,0.0
7.150000000000001,25.908006399999998,30.0,20.0,41.091993599999995,0.0
7.200000000000001,27.908006399999998,29.0,19.0,41.091993599999995,0.0
7.250000000000002,31.908006399999998,28.0,20.0,40.091993599999995,0.0
7.300000000000002,31.908006399999998,29.0,21.0,40.091993599999995,0.0
7.350000000000001,36.9080064,27.0,20.0,40.091993599999995,0.0
7.400000000000001,40.9080064,26.0,20.0,39.091993599999995,0.0
7.450000000000001,44.9080064,25.0,21.0,38.091993599999995,0.0
7.500000000000002,48.9080064,26.0,18.0,37.091993599999995,0.0
7.550000000000002,51.9080064,28.0,18.0,35.091993599999995,0.0
7.600000000000001,47.9080064,32.0,16.0,33.091993599999995,0.0
7.650000000000001,50.9080064,32.0,17.0,32.091993599999995,0.0
7.700000000000001,51.9080064,30.0,19.0,31.091993599999995,0.0
7.750000000000002,51.9080064,33.0,19.0,30.091993599999995,0.0
7.800000000000002,53.9080064,31.0,22.0,28.091993599999995,0.0
7.850000000000001,54.9080064,32.0,20.0,28.091993599999995,0.0
7.900000000000001,55.9080064,28.0,24.0,28.091993599999995,0.0
7.950000000000002,55.9080064,30.0,24.0,27.091993599999995,0.0
8.000000000000002,22.76320256,31.0,24.0,61.23679743999999,0.0
8.05,22.76320256,31.0,24.0,60.23679743999999,0.0
8.100000000000001,22.76320256,30.0,26.0,58.23679743999999,0.0
8.150000000000002,24.76320256,29.0,24.0,56.23679743999999,0.0
8.200000000000001,27.76320256,32.0,24.0,53.23679743999999,0.0
8.250000000000002,29.76320256,32.0,23.0,52.23679743999999,0.0
8.300000000000002,29.76320256,28.0,24.0,52.23679743999999,0.0
8.350000000000001,30.763202559999996,26.0,26.0,51.23679743999999,0.0
8.400000000000002,30.763202559999996,23.0,28.0,51.23679743999999,0.0
8.450000000000001,31.763202559999996,25.0,26.0,49.23679743999999,0.0
8.500000000000002,36.763202559999996,22.0,31.0,47.23679743999999,0.0
8.550000000000002,36.763202559999996,23.0,28.0,46.23679743999999,0.0
8.600000000000001,40.763202559999996,24.0,29.0,44.23679743999999,0.0
8.650000000000002,39.763202559999996,26.0,27.0,43.23679743999999,0.0
8.700000000000001,38.763202559999996,28.0,24.0,39.23679743999999,0.0
8.750000000000002,37.763202559999996,27.0,27.0,39.23679743999999,0.0
8.800000000000002,39.763202559999996,29.0,26.0,39.23679743999999,0.0
8.850000000000001,42.763202559999996,30.0,27.0,37.23679743999999,0.0
8.900000000000002,43.763202559999996,27.0,29.0,37.23679743999999,0.0
8.950000000000001,44.763202559999996,28.0,27.0,36.23679743999999,0.0
9.000000000000002,44.763202559999996,27.0,26.0,34.23679743999999,0.0
9.050000000000002,20.905281024,25.0,24.0,59.09471897599998,0.0
9.100000000000001,20.905281024,25.0,24.0,58.09471897599998,0.0
9.150000000000002,21.905281024,25.0,24.0,57.09471897599998,0.0
9.200000000000001,23.905281024,27.0,24.0,56.09471897599998,0.0
9.250000000000002,25.905281024,27.0,27.0,53.09471897599998,0.0
9.300000000000002,23.905281024,27.0,29.0,53.09471897599998,0.0
9.350000000000001,24.905281024,28.0,29.0,52.09471897599998,0.0
9.400000000000002,25.905281024,27.0,30.0,51.09471897599998,0.0
9.450000000000001,25.905281024,27.0,31.0,49.09471897599998,0.0
9.500000000000002,25.905281024,26.0,34.0,49.09471897599998,0.0
9.550000000000002,30.905281024,28.0,32.0,47.09471897599998,0.0
9.600000000000001,33.905281024000004,30.0,34.0,45.09471897599998,0.0
9.650000000000002,31.905281024000004,33.0,33.0,44.09471897599998,0.0
9.700000000000001,32.905281024000004,33.0,35.0,43.09471897599998,0.0
9.750000000000002,33.905281024000004,35.0,34.0,40.09471897599998,0.0
9.800000000000002,33.905281024000004,35.0,34.0,40.09471897599998,0.0
9.850000000000001,31.905281024000004,39.0,35.0,39.09471897599998,0.0
9.900000000000002,29.905281024000004,40.0,36.0,37.09471897599998,0.0
9.950000000000001,28.905281024000004,42.0,37.0,34.09471897599998,0.0
10.000000000000002,25.905281024000004,43.0,39.0,34.09471897599998,0.0
10.050000000000002,12.362112409600002,41.0,41.0,48.637887590399984,0.0
10.100000000000001,10.362112409600002,38.0,46.0,47.637887590399984,0.0
10.150000000000002,13.362112409600002,37.0,49.0,45.637887590399984,0.0
10.200000000000003,18.3621124096,36.0,46.0,44.637887590399984,0.0
10.250000000000002,17.3621124096,31.0,49.0,44.637887590399984,0.0
10.300000000000002,18.3621124096,33.0,46.0,41.637887590399984,0.0
10.350000000000001,20.3621124096,37.0,45.0,37.637887590399984,0.0
10.400000000000002,22.3621124096,37.0,45.0,36.637887590399984,0.0
10.450000000000003,22.3621124096,38.0,43.0,35.637887590399984,0.0
10.500000000000002,22.3621124096,38.0,41.0,33.637887590399984,0.0
10.550000000000002,27.3621124096,38.0,41.0,30.637887590399984,0.0
10.600000000000001,26.3621124096,38.0,40.0,29.637887590399984,0.0
10.650000000000002,27.3621124096,41.0,37.0,27.637887590399984,0.0
10.700000000000003,25.3621124096,42.0,33.0,25.637887590399984,0.0
10.750000000000002,26.3621124096,41.0,37.0,23.637887590399984,0.0
10.800000000000002,24.3621124096,44.0,32.0,23.637887590399984,0.0
10.850000000000001,27.3621124096,40.0,36.0,22.637887590399984,0.0
10.900000000000002,30.3621124096,40.0,34.0,21.637887590399984,0.0
10.950000000000003,31.3621124096,38.0,34.0,21.637887590399984,0.0
11.000000000000002,29.3621124096,39.0,35.0,20.637887590399984,0.0
11.050000000000002,11.744844963840002,33.0,39.0,38.255155036159984,0.0
11.100000000000001,12.744844963840002,31.0,39.0,36.255155036159984,0.0
11.150000000000002,15.744844963840002,32.0,37.0,34.255155036159984,0.0
11.200000000000003,15.744844963840002,34.0,35.0,31.255155036159984,0.0
11.250000000000002,16.744844963840002,35.0,33.0,28.255155036159984,0.0
11.300000000000002,16.744844963840002,34.0,36.0,25.255155036159984,0.0
11.350000000000001,17.744844963840002,34.0,37.0,23.255155036159984,0.0
11.400000000000002,19.744844963840002,33.0,37.0,22.255155036159984,0.0
11.450000000000003,22.744844963840002,27.0,39.0,20.255155036159984,0.0
11.500000000000002,22.744844963840002,27.0,36.0,19.255155036159984,0.0
11.550000000000002,24.744844963840002,25.0,37.0,19.255155036159984,0.0
11.600000000000001,27.744844963840002,21.0,38.0,19.255155036159984,0.0
11.650000000000002,31.744844963840002,20.0,36.0,19.255155036159984,0.0
11.700000000000003,31.744844963840002,21.0,38.0,17.255155036159984,0.0
11.750000000000002,31.744844963840002,20.0,36.0,16.255155036159984,0.0
11.800000000000002,32.74484496384,19.0,33.0,16.255155036159984,0.0
11.850000000000001,28.744844963840002,23.0,33.0,15.255155036159984,0.0
11.900000000000002,26.744844963840002,25.0,34.0,15.255155036159984,0.0
11.950000000000003,26.744844963840002,27.0,31.0,14.255155036159984,0.0
12.000000000000002,10.697937985536,27.0,27.0,29.302062014463985,0.0
12.050000000000002,11.697937985536,26.0,28.0,28.302062014463985,0.0
12.100000000000003,16.697937985536,26.0,27.0,27.302062014463985,0.0
12.150000000000002,18.697937985536,28.0,26.0,25.302062014463985,0.0
12.200000000000003,20.697937985536,29.0,26.0,23.302062014463985,0.0
12.250000000000002,22.697937985536,29.0,26.0,22.302062014463985,0.0
12.300000000000002,25.697937985536,28.0,27.0,22.302062014463985,0.0
12.350000000000003,26.697937985536,27.0,26.0,22.302062014463985,0.0
12.400000000000002,30.697937985536,26.0,25.0,22.302062014463985,0.0
12.450000000000003,33.697937985536,28.0,24.0,20.302062014463985,0.0
12.500000000000002,34.697937985536,30.0,26.0,18.302062014463985,0.0
12.550000000000002,34.697937985536,28.0,30.0,17.302062014463985,0.0
12.600000000000003,35.697937985536,27.0,29.0,17.302062014463985,0.0
12.650000000000002,40.697937985536,27.0,30.0,16.302062014463985,0.0
12.700000000000003,44.697937985536,26.0,30.0,16.302062014463985,0.0
12.750000000000002,49.697937985536,25.0,29.0,15.302062014463985,0.0
12.800000000000002,45.697937985536,26.0,30.0,13.302062014463985,0.0
12.850000000000003,42.697937985536,29.0,31.0,13.302062014463985,0.0
12.900000000000002,46.697937985536,22.0,37.0,13.302062014463985,0.0
12.950000000000003,47.697937985536,20.0,38.0,13.302062014463985,0.0
13.000000000000002,17.479175194214402,25.0,38.0,38.52082480578558,0.0
13.050000000000002,16.479175194214402,25.0,41.0,38.52082480578558,0.0
13.100000000000003,16.479175194214402,27.0,37.0,36.52082480578558,0.0
13.150000000000002,15.479175194214402,24.0,41.0,35.52082480578558,0.0
13.200000000000003,16.479175194214402,21.0,42.0,35.52082480578558,0.0
13.250000000000002,15.479175194214402,22.0,42.0,35.52082480578558,0.0
13.300000000000002,19.479175194214402,20.0,42.0,33.52082480578558,0.0
13.350000000000003,21.479175194214402,22.0,40.0,29.52082480578558,0.0
13.400000000000002,22.479175194214402,25.0,38.0,28.52082480578558,0.0
