time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,156.0,12.0,22.0,0.0,0.0
0.10000000000000002,155.0,15.0,22.0,0.0,0.0
0.15000000000000002,152.0,14.0,24.0,0.0,0.0
0.20000000000000004,151.0,16.0,23.0,0.0,0.0
0.25000000000000006,142.0,21.0,22.0,0.0,0.0
0.30000000000000004,139.0,22.0,20.0,0.0,0.0
0.3500000000000001,136.0,23.0,22.0,0.0,0.0
0.4000000000000001,128.0,24.0,23.0,0.0,0.0
0.45000000000000007,127.0,22.0,22.0,0.0,0.0
0.5000000000000001,125.0,25.0,23.0,0.0,0.0
0.5500000000000002,122.0,27.0,24.0,0.0,0.0
0.6000000000000001,119.0,27.0,21.0,0.0,0.0
0.6500000000000001,125.0,25.0,22.0,0.0,0.0
0.7000000000000002,124.0,24.0,23.0,0.0,0.0
0.7500000000000001,123.0,24.0,25.0,0.0,0.0
0.8000000000000002,121.0,25.0,21.0,0.0,0.0
0.8500000000000002,118.0,28.0,23.0,0.0,0.0
0.9000000000000001,111.0,30.0,25.0,0.0,0.0
0.9500000000000002,106.0,33.0,24.0,0.0,0.0
1.0000000000000002,104.0,34.0,26.0,0.0,0.0
1.0500000000000003,40.6,39.0,25.0,57.4,0.0
1.1000000000000003,40.6,36.0,28.0,57.4,0.0
1.1500000000000001,42.6,38.0,27.0,56.4,0.0
1.2000000000000002,45.6,39.0,25.0,55.4,0.0
1.2500000000000002,46.6,35.0,28.0,55.4,0.0
1.3000000000000003,46.6,34.0,30.0,53.4,0.0
1.3500000000000003,45.6,32.0,29.0,53.4,0.0
1.4000000000000004,45.6,33.0,27.0,51.4,0.0
1.4500000000000002,47.6,32.0,27.0,50.4,0.0
1.5000000000000002,48.6,31.0,27.0,50.4,0.0
1.5500000000000003,49.6,30.0,27.0,49.4,0.0
1.6000000000000003,50.6,29.0,28.0,49.4,0.0
1.6500000000000004,46.6,34.0,26.0,46.4,0.0
1.7000000000000004,46.6,33.0,28.0,45.4,0.0
1.7500000000000004,45.6,33.0,29.0,44.4,0.0
1.8000000000000003,47.6,31.0,29.0,42.4,0.0
1.8500000000000003,44.6,34.0,31.0,39.4,0.0
1.9000000000000004,42.6,33.0,33.0,39.4,0.0
1.9500000000000004,41.6,33.0,33.0,39.4,0.0
2.0000000000000004,16.240000000000002,31.0,34.0,63.76,0.0
2.0500000000000003,16.240000000000002,31.0,36.0,62.76,0.0
2.1000000000000005,19.240000000000002,31.0,37.0,61.76,0.0
2.1500000000000004,21.240000000000002,33.0,36.0,58.76,0.0
2.2000000000000006,25.240000000000002,32.0,38.0,58.76,0.0
2.2500000000000004,23.240000000000002,29.0,38.0,57.76,0.0
2.3000000000000003,26.240000000000002,28.0,36.0,57.76,0.0
2.3500000000000005,26.240000000000002,31.0,36.0,55.76,0.0
2.4000000000000004,26.240000000000002,30.0,35.0,51.76,0.0
2.4500000000000006,27.240000000000002,31.0,34.0,51.76,0.0
2.5000000000000004,26.240000000000002,32.0,37.0,47.76,0.0
2.5500000000000007,25.240000000000002,34.0,38.0,46.76,0.0
2.6000000000000005,26.240000000000002,37.0,38.0,43.76,0.0
2.6500000000000004,25.240000000000002,39.0,37.0,41.76,0.0
2.7000000000000006,24.240000000000002,43.0,36.0,38.76,0.0
2.7500000000000004,25.240000000000002,42.0,38.0,38.76,0.0
2.8000000000000007,25.240000000000002,42.0,36.0,36.76,0.0
2.8500000000000005,25.240000000000002,38.0,38.0,36.76,0.0
2.9000000000000004,22.240000000000002,37.0,37.0,35.76,0.0
2.9500000000000006,25.240000000000002,36.0,37.0,35.76,0.0
3.0000000000000004,10.496000000000002,38.0,36.0,49.504,0.0
3.0500000000000007,10.496000000000002,41.0,36.0,45.504,0.0
3.1000000000000005,11.496000000000002,41.0,35.0,42.504,0.0
3.150000000000001,14.496000000000002,42.0,34.0,39.504,0.0
3.2000000000000006,16.496000000000002,37.0,33.0,38.504,0.0
3.2500000000000004,16.496000000000002,36.0,36.0,36.504,0.0
3.3000000000000007,19.496000000000002,37.0,33.0,33.504,0.0
3.3500000000000005,23.496000000000002,38.0,31.0,32.504,0.0
3.400000000000001,28.496000000000002,36.0,29.0,32.504,0.0
3.4500000000000006,28.496000000000002,39.0,30.0,31.503999999999998,0.0
3.500000000000001,31.496000000000002,38.0,30.0,31.503999999999998,0.0
3.5500000000000007,30.496000000000002,33.0,36.0,30.503999999999998,0.0
3.6000000000000005,26.496000000000002,33.0,34.0,29.503999999999998,0.0
3.650000000000001,26.496000000000002,31.0,35.0,29.503999999999998,0.0
3.7000000000000006,29.496000000000002,30.0,37.0,29.503999999999998,0.0
3.750000000000001,28.496000000000002,32.0,35.0,29.503999999999998,0.0
3.8000000000000007,28.496000000000002,30.0,38.0,28.503999999999998,0.0
3.8500000000000005,31.496000000000002,29.0,38.0,27.503999999999998,0.0
3.900000000000001,28.496000000000002,31.0,39.0,26.503999999999998,0.0
3.9500000000000006,30.496000000000002,30.0,36.0,23.503999999999998,0.0
4.000000000000001,10.598400000000002,32.0,36.0,39.4016,0.0
4.050000000000001,12.598400000000002,31.0,36.0,37.4016,0.0
4.1000000000000005,16.5984,29.0,35.0,36.4016,0.0
4.150000000000001,18.5984,30.0,37.0,34.4016,0.0
4.200000000000001,20.5984,34.0,34.0,31.401600000000002,0.0
4.250000000000001,20.5984,35.0,33.0,29.401600000000002,0.0
4.300000000000001,23.5984,32.0,28.0,29.401600000000002,0.0
4.3500000000000005,28.5984,29.0,28.0,29.401600000000002,0.0
4.400000000000001,28.5984,30.0,27.0,29.401600000000002,0.0
4.450000000000001,25.5984,29.0,30.0,29.401600000000002,0.0
4.500000000000001,26.5984,33.0,28.0,26.401600000000002,0.0
4.550000000000001,28.5984,31.0,28.0,25.401600000000002,0.0
4.6000000000000005,26.5984,33.0,30.0,23.401600000000002,0.0
4.650000000000001,28.5984,33.0,32.0,22.401600000000002,0.0
4.700000000000001,32.5984,32.0,32.0,20.401600000000002,0.0
4.750000000000001,31.598399999999998,32.0,27.0,19.401600000000002,0.0
4.800000000000001,33.5984,33.0,27.0,18.401600000000002,0.0
4.8500000000000005,34.5984,32.0,25.0,18.401600000000002,0.0
4.900000000000001,30.598399999999998,31.0,28.0,17.401600000000002,0.0
4.950000000000001,32.5984,29.0,27.0,17.401600000000002,0.0
5.000000000000001,30.598399999999998,28.0,24.0,17.401600000000002,0.0
5.050000000000001,11.83936,28.0,25.0,34.16064,0.0
5.100000000000001,11.83936,27.0,26.0,34.16064,0.0
5.150000000000001,13.83936,24.0,29.0,34.16064,0.0
5.200000000000001,17.83936,23.0,30.0,34.16064,0.0
5.250000000000001,18.83936,21.0,26.0,34.16064,0.0
5.300000000000001,20.83936,21.0,26.0,32.16064,0.0
5.350000000000001,22.83936,21.0,26.0,32.16064,0.0
5.400000000000001,25.83936,23.0,24.0,30.16064,0.0
5.450000000000001,28.83936,24.0,22.0,29.16064,0.0
5.500000000000001,28.83936,26.0,21.0,28.16064,0.0
5.550000000000001,24.83936,25.0,22.0,27.16064,0.0
5.600000000000001,26.83936,24.0,24.0,26.16064,0.0
5.650000000000001,26.83936,20.0,29.0,25.16064,0.0
5.700000000000001,29.83936,19.0,31.0,21.16064,0.0
5.750000000000001,27.83936,20.0,29.0,21.16064,0.0
5.800000000000001,29.83936,21.0,29.0,20.16064,0.0
5.850000000000001,30.83936,23.0,28.0,20.16064,0.0
5.900000000000001,33.83936,23.0,26.0,19.16064,0.0
5.950000000000001,37.83936,22.0,28.0,19.16064,0.0
