Year,Concentration
2000.00000, 0.13318
2001.00000, 0.16815
2002.00000, 0.21451
2003.00000, 0.37988
2004.00000, 0.52427
2005.00000, 0.58595
2006.00000, 0.62410
2007.00000, 0.65068
2008.00000, 0.67391
2009.00000, 0.69719
2010.00000, 0.72144
2011.00000, 0.74990
2012.00000, 0.77840
2013.00000, 0.81445
2014.00000, 0.84256
2015.00000, 0.86984
2016.00000, 0.89702
2017.00000, 0.91682
2018.00000, 0.93313
2019.00000, 0.94864
2020.00000, 0.96154
