sigma,p,S,E,I,W,R
0.25,0.3,0.10347250531126441,0.0,6.0,0.0,0.0
0.25,0.5999999999999999,1.6951617114238127,1.5555555555555554,14.888888888888888,0.0,0.0
0.25,0.8999999999999999,0.08315067555555575,8.0,5.5555555555555545,0.0,0.0
0.5,0.3,8.062657100036132,0.0,4.666666666666667,0.0,0.0
0.5,0.5999999999999999,0.5799129141558236,0.0,5.555555555555556,0.0,0.0
0.5,0.8999999999999999,0.21386581139137664,0.888888888888889,3.555555555555556,0.0,0.0
0.75,0.3,0.6439397063820447,0.0,0.6666666666666666,0.0,0.0
0.75,0.5999999999999999,0.2523268603884557,0.0,6.888888888888888,0.0,0.0
0.75,0.8999999999999999,0.05259936985800017,0.0,9.555555555555555,0.0,0.0
