sigma,p,S,E,I,W,R
0.25,0.3,41.08928541032964,24.455,24.57,25.265714589670335,0.0
0.25,0.5999999999999999,33.98027430904751,16.6525,15.6675,56.26472569095248,0.0
0.25,0.8999999999999999,26.251826679227946,6.73,6.5325,85.70067332077204,0.0
0.5,0.3,38.693399852234144,28.175,28.87,14.701453262834711,0.0
0.5,0.5999999999999999,30.315783459613804,25.3025,26.2575,26.91171654038619,0.0
0.5,0.8999999999999999,25.843531638727637,21.6375,21.36,44.95146836127236,0.0
0.75,0.3,34.962475953830555,28.245,28.5325,10.202524046169424,0.0
0.75,0.5999999999999999,31.693270859159412,27.98,27.6425,21.481729140840592,0.0
0.75,0.8999999999999999,23.778454588377798,28.285,28.2625,28.211791804542973,0.0
