sigma,p,S,E,I,W,R
0.25,0.3,44.244765727610165,25.549166666666665,26.547500000000003,31.809400939056456,0.0
0.25,0.5999999999999999,36.355474191404774,18.650833333333335,19.349166666666665,65.45035914192856,0.0
0.25,0.8999999999999999,26.73951467403332,10.016666666666667,11.1025,102.98715199263331,0.0
0.5,0.3,40.25394352804642,29.210833333333337,29.511666666666667,15.133556471953545,0.0
0.5,0.5999999999999999,31.4161997288932,27.014166666666668,28.975000000000005,30.342133604440132,0.0
0.5,0.8999999999999999,26.283668978504682,24.47083333333333,25.89833333333333,50.15299768816198,0.0
0.75,0.3,37.021800613117954,28.650000000000002,29.173333333333332,11.003199386882017,0.0
0.75,0.5999999999999999,32.46139899025976,28.491666666666664,28.74083333333333,23.415267676406916,0.0
0.75,0.8999999999999999,24.067683812887484,28.926666666666666,28.890833333333333,29.027316187112522,0.0
