sigma,p,S,E,I,W,R
0.25,0.3,20.735989999999994,10.0,16.0,0.0,0.0
0.25,0.5999999999999999,13.17984000000001,9.0,13.0,0.0,0.0
0.25,0.8999999999999999,3.2400000000000033,6.0,5.0,0.0,0.0
0.5,0.3,20.496799168973396,10.0,17.0,0.0,0.0
0.5,0.5999999999999999,8.603101322412037,10.0,20.0,0.0,0.0
0.5,0.8999999999999999,2.498292001000003,10.0,14.0,0.0,0.0
0.75,0.3,16.471438269999993,10.0,15.0,0.0,0.0
0.75,0.5999999999999999,9.149186264006662,10.0,15.0,0.0,0.0
0.75,0.8999999999999999,2.0736400000000024,10.0,15.0,0.0,0.0
