sigma,p,S,E,I,W,R
0.25,0.3,157.0,43.0,43.0,61.227166803999964,0.0
0.25,0.5999999999999999,157.0,45.0,38.0,105.38456501723158,0.0
0.25,0.8999999999999999,158.0,40.0,41.0,171.95497965720367,0.0
0.5,0.3,157.0,47.0,52.0,35.629999999999995,0.0
0.5,0.5999999999999999,157.0,47.0,47.0,68.99999999999999,0.0
0.5,0.8999999999999999,157.0,45.0,47.0,99.25992802601033,0.0
0.75,0.3,157.0,47.0,52.0,29.7,0.0
0.75,0.5999999999999999,157.0,45.0,47.0,79.03999999999999,0.0
0.75,0.8999999999999999,157.0,46.0,57.0,107.1,0.0
