sigma,p,S,E,I,W,R
0.25,0.3,47.20200804905566,24.666666666666668,24.0,27.131325284277597,0.0
0.25,0.5999999999999999,48.319107591190345,14.666666666666666,12.333333333333334,61.680892408809676,0.0
0.25,0.8999999999999999,32.837358674002694,5.666666666666667,5.333333333333333,116.16264132599728,0.0
0.5,0.3,35.16894209458397,26.666666666666668,32.333333333333336,6.497724572082659,0.0
0.5,0.5999999999999999,34.697341466537566,26.0,29.666666666666668,21.635991866795774,0.0
0.5,0.8999999999999999,34.08958386915776,26.0,29.333333333333332,31.243749464175565,0.0
0.75,0.3,42.25361379232222,29.666666666666668,25.666666666666668,8.413052874344404,0.0
0.75,0.5999999999999999,36.958030292207546,28.666666666666668,28.666666666666668,12.375303041125798,0.0
0.75,0.8999999999999999,27.866913680252996,32.0,28.666666666666668,19.79975298641368,0.0
